SalesID,Product,Region,Sales,Year
101,Product A,North,500,2022
102,Product B,East,600,2022
103,Product C,West,700,2022
104,Product D,South,800,2022
105,Product E,Central,550,2022
106,Product A,East,650,2022
107,Product B,North,720,2022
108,Product C,South,680,2022
109,Product D,West,900,2022
110,Product E,Central,750,2022
111,Product A,South,580,2023
112,Product B,West,620,2023
113,Product C,North,850,2023
114,Product D,East,780,2023
115,Product E,Central,690,2023
116,Product A,West,730,2023
117,Product B,South,810,2023
118,Product C,East,920,2023
119,Product D,North,670,2023
120,Product E,Central,860,2023
121,Product A,North,760,2024
122,Product B,East,830,2024
123,Product C,West,950,2024
124,Product D,South,880,2024
125,Product E,Central,790,2024
126,Product A,East,840,2024
127,Product B,North,910,2024
128,Product C,South,970,2024
129,Product D,West,890,2024
130,Product E,Central,930,2024
